Component,Origin,License,Copyright
actions/checkout@v4,https://github.com/actions/checkout,MIT,See upstream license notice
@earendil-works/pi-ai@*,https://www.npmjs.com/package/@earendil-works/pi-ai,MIT,See upstream license notice
@earendil-works/pi-coding-agent@*,https://www.npmjs.com/package/@earendil-works/pi-coding-agent,MIT,See upstream license notice
@types/node@20.17.30,https://www.npmjs.com/package/@types/node,MIT,See upstream license notice
fastmcp>=3.2.4,https://pypi.org/project/fastmcp/,Apache-2.0,See upstream license notice
mcp>=1.26.0,https://pypi.org/project/mcp/,MIT,See upstream license notice
PyYAML>=6.0,https://pypi.org/project/PyYAML/,MIT,See upstream license notice
typescript@5.3.3,https://www.npmjs.com/package/typescript,Apache-2.0,See upstream license notice
typebox@*,https://www.npmjs.com/package/typebox,MIT,See upstream license notice
cel.dev/expr@v0.25.1,https://cel.dev/expr,Apache-2.0,See upstream license notice
cloud.google.com/go/compute/metadata@v0.9.0,https://cloud.google.com/go/compute/metadata,Apache-2.0,See upstream license notice
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp@v1.31.0,https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp,Apache-2.0,See upstream license notice
github.com/antihax/optional@v1.0.0,https://github.com/antihax/optional,MIT,See upstream license notice
github.com/cenkalti/backoff/v5@v5.0.3,https://github.com/cenkalti/backoff/v5,MIT,See upstream license notice
github.com/cespare/xxhash/v2@v2.3.0,https://github.com/cespare/xxhash/v2,MIT,See upstream license notice
github.com/cncf/xds/go@v0.0.0-20251210132809-ee656c7534f5,https://github.com/cncf/xds/go,Apache-2.0,See upstream license notice
github.com/danieljoos/wincred@v1.2.3,https://github.com/danieljoos/wincred,MIT,See upstream license notice
github.com/davecgh/go-spew@v1.1.1,https://github.com/davecgh/go-spew,ISC,See upstream license notice
github.com/dustin/go-humanize@v1.0.1,https://github.com/dustin/go-humanize,MIT,See upstream license notice
github.com/envoyproxy/go-control-plane/envoy@v1.36.0,https://github.com/envoyproxy/go-control-plane/envoy,Apache-2.0,See upstream license notice
github.com/envoyproxy/go-control-plane/ratelimit@v0.1.0,https://github.com/envoyproxy/go-control-plane/ratelimit,Apache-2.0,See upstream license notice
github.com/envoyproxy/go-control-plane@v0.14.0,https://github.com/envoyproxy/go-control-plane,Apache-2.0,See upstream license notice
github.com/envoyproxy/protoc-gen-validate@v1.3.0,https://github.com/envoyproxy/protoc-gen-validate,Apache-2.0,See upstream license notice
github.com/frankban/quicktest@v1.14.6,https://github.com/frankban/quicktest,MIT,See upstream license notice
github.com/fsnotify/fsnotify@v1.10.1,https://github.com/fsnotify/fsnotify,BSD-3-Clause,See upstream license notice
github.com/go-jose/go-jose/v4@v4.1.3,https://github.com/go-jose/go-jose/v4,Apache-2.0,See upstream license notice
github.com/go-logr/logr@v1.4.3,https://github.com/go-logr/logr,Apache-2.0,See upstream license notice
github.com/go-logr/stdr@v1.2.2,https://github.com/go-logr/stdr,Apache-2.0,See upstream license notice
github.com/godbus/dbus/v5@v5.2.2,https://github.com/godbus/dbus/v5,BSD-2-Clause,See upstream license notice
github.com/golang/glog@v1.2.5,https://github.com/golang/glog,Apache-2.0,See upstream license notice
github.com/golang/protobuf@v1.5.4,https://github.com/golang/protobuf,BSD-3-Clause,See upstream license notice
github.com/google/go-cmp@v0.7.0,https://github.com/google/go-cmp,BSD-3-Clause,See upstream license notice
github.com/google/jsonschema-go@v0.4.2,https://github.com/google/jsonschema-go,MIT,See upstream license notice
github.com/google/pprof@v0.0.0-20250317173921-a4b03ec1a45e,https://github.com/google/pprof,Apache-2.0,See upstream license notice
github.com/google/uuid@v1.6.0,https://github.com/google/uuid,BSD-3-Clause,See upstream license notice
github.com/grpc-ecosystem/grpc-gateway/v2@v2.28.0,https://github.com/grpc-ecosystem/grpc-gateway/v2,BSD-3-Clause,See upstream license notice
github.com/hashicorp/golang-lru/v2@v2.0.7,https://github.com/hashicorp/golang-lru/v2,MPL-2.0,See upstream license notice
github.com/kr/pretty@v0.3.1,https://github.com/kr/pretty,MIT,See upstream license notice
github.com/kr/text@v0.2.0,https://github.com/kr/text,MIT,See upstream license notice
github.com/libp2p/go-reuseport@v0.4.0,https://github.com/libp2p/go-reuseport,ISC,See upstream license notice
github.com/mark3labs/mcp-go@v0.47.1,https://github.com/mark3labs/mcp-go,MIT,See upstream license notice
github.com/mattn/go-isatty@v0.0.21,https://github.com/mattn/go-isatty,MIT,See upstream license notice
github.com/ncruces/go-strftime@v1.0.0,https://github.com/ncruces/go-strftime,MIT,See upstream license notice
github.com/planetscale/vtprotobuf@v0.6.1-0.20240319094008-0393e58bdf10,https://github.com/planetscale/vtprotobuf,BSD-3-Clause,See upstream license notice
github.com/pmezard/go-difflib@v1.0.0,https://github.com/pmezard/go-difflib,BSD-2-Clause,See upstream license notice
github.com/remyoudompheng/bigfft@v0.0.0-20230129092748-24d4a6f8daec,https://github.com/remyoudompheng/bigfft,BSD-3-Clause,See upstream license notice
github.com/rogpeppe/fastuuid@v1.2.0,https://github.com/rogpeppe/fastuuid,BSD-3-Clause,See upstream license notice
github.com/rogpeppe/go-internal@v1.14.1,https://github.com/rogpeppe/go-internal,BSD-3-Clause,See upstream license notice
github.com/spf13/cast@v1.10.0,https://github.com/spf13/cast,MIT,See upstream license notice
github.com/spiffe/go-spiffe/v2@v2.6.0,https://github.com/spiffe/go-spiffe/v2,Apache-2.0,See upstream license notice
github.com/stretchr/objx@v0.5.2,https://github.com/stretchr/objx,MIT,See upstream license notice
github.com/stretchr/testify@v1.11.1,https://github.com/stretchr/testify,MIT,See upstream license notice
github.com/vmihailenco/msgpack/v5@v5.4.1,https://github.com/vmihailenco/msgpack/v5,BSD-2-Clause,See upstream license notice
github.com/vmihailenco/tagparser/v2@v2.0.0,https://github.com/vmihailenco/tagparser/v2,BSD-2-Clause,See upstream license notice
github.com/yosida95/uritemplate/v3@v3.0.2,https://github.com/yosida95/uritemplate/v3,BSD-3-Clause,See upstream license notice
github.com/zalando/go-keyring@v0.2.8,https://github.com/zalando/go-keyring,MIT,See upstream license notice
go.opentelemetry.io/auto/sdk@v1.2.1,https://go.opentelemetry.io/auto/sdk,Apache-2.0,See upstream license notice
go.opentelemetry.io/contrib/detectors/gcp@v1.39.0,https://go.opentelemetry.io/contrib/detectors/gcp,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp@v1.43.0,https://go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp@v1.43.0,https://go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/exporters/otlp/otlptrace@v1.43.0,https://go.opentelemetry.io/otel/exporters/otlp/otlptrace,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/metric@v1.43.0,https://go.opentelemetry.io/otel/metric,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/sdk/metric@v1.43.0,https://go.opentelemetry.io/otel/sdk/metric,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/sdk@v1.43.0,https://go.opentelemetry.io/otel/sdk,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel/trace@v1.43.0,https://go.opentelemetry.io/otel/trace,Apache-2.0,See upstream license notice
go.opentelemetry.io/otel@v1.43.0,https://go.opentelemetry.io/otel,Apache-2.0,See upstream license notice
go.opentelemetry.io/proto/otlp@v1.10.0,https://go.opentelemetry.io/proto/otlp,Apache-2.0,See upstream license notice
go.uber.org/goleak@v1.3.0,https://go.uber.org/goleak,MIT,See upstream license notice
go.yaml.in/yaml/v3@v3.0.4,https://go.yaml.in/yaml/v3,Apache-2.0,See upstream license notice
golang.org/x/crypto@v0.49.0,https://golang.org/x/crypto,BSD-3-Clause,See upstream license notice
golang.org/x/exp@v0.0.0-20251023183803-a4bb9ffd2546,https://golang.org/x/exp,BSD-3-Clause,See upstream license notice
golang.org/x/mod@v0.33.0,https://golang.org/x/mod,BSD-3-Clause,See upstream license notice
golang.org/x/net@v0.52.0,https://golang.org/x/net,BSD-3-Clause,See upstream license notice
golang.org/x/oauth2@v0.35.0,https://golang.org/x/oauth2,BSD-3-Clause,See upstream license notice
golang.org/x/sync@v0.20.0,https://golang.org/x/sync,BSD-3-Clause,See upstream license notice
golang.org/x/sys@v0.43.0,https://golang.org/x/sys,BSD-3-Clause,See upstream license notice
golang.org/x/term@v0.41.0,https://golang.org/x/term,BSD-3-Clause,See upstream license notice
golang.org/x/text@v0.35.0,https://golang.org/x/text,BSD-3-Clause,See upstream license notice
golang.org/x/tools@v0.42.0,https://golang.org/x/tools,BSD-3-Clause,See upstream license notice
gonum.org/v1/gonum@v0.17.0,https://gonum.org/v1/gonum,BSD-3-Clause,See upstream license notice
google.golang.org/genproto/googleapis/api@v0.0.0-20260406210006-6f92a3bedf2d,https://google.golang.org/genproto/googleapis/api,Apache-2.0,See upstream license notice
google.golang.org/genproto/googleapis/rpc@v0.0.0-20260406210006-6f92a3bedf2d,https://google.golang.org/genproto/googleapis/rpc,Apache-2.0,See upstream license notice
google.golang.org/grpc@v1.80.0,https://google.golang.org/grpc,Apache-2.0,See upstream license notice
google.golang.org/protobuf@v1.36.11,https://google.golang.org/protobuf,BSD-3-Clause,See upstream license notice
gopkg.in/check.v1@v1.0.0-20201130134442-10cb98267c6c,https://gopkg.in/check.v1,BSD-2-Clause,See upstream license notice
gopkg.in/yaml.v3@v3.0.1,https://gopkg.in/yaml.v3,Apache-2.0,See upstream license notice
modernc.org/cc/v4@v4.27.1,https://modernc.org/cc/v4,BSD-3-Clause,See upstream license notice
modernc.org/ccgo/v4@v4.32.0,https://modernc.org/ccgo/v4,BSD-3-Clause,See upstream license notice
modernc.org/fileutil@v1.4.0,https://modernc.org/fileutil,BSD-3-Clause,See upstream license notice
modernc.org/gc/v2@v2.6.5,https://modernc.org/gc/v2,BSD-3-Clause,See upstream license notice
modernc.org/gc/v3@v3.1.2,https://modernc.org/gc/v3,BSD-3-Clause,See upstream license notice
modernc.org/goabi0@v0.2.0,https://modernc.org/goabi0,BSD-3-Clause,See upstream license notice
modernc.org/libc@v1.70.0,https://modernc.org/libc,BSD-3-Clause,See upstream license notice
modernc.org/mathutil@v1.7.1,https://modernc.org/mathutil,BSD-3-Clause,See upstream license notice
modernc.org/memory@v1.11.0,https://modernc.org/memory,BSD-3-Clause,See upstream license notice
modernc.org/opt@v0.1.4,https://modernc.org/opt,BSD-3-Clause,See upstream license notice
modernc.org/sortutil@v1.2.1,https://modernc.org/sortutil,BSD-3-Clause,See upstream license notice
modernc.org/sqlite@v1.48.1,https://modernc.org/sqlite,BSD-3-Clause,See upstream license notice
modernc.org/strutil@v1.2.1,https://modernc.org/strutil,BSD-3-Clause,See upstream license notice
modernc.org/token@v1.1.0,https://modernc.org/token,BSD-3-Clause,See upstream license notice
